SPECIES	OBSERVED	GAM	See5	SGB
ABCO	0	0.012033583	1.00E-04	0.031659978
ABCO	0	0.006132727	1.00E-04	0.038850692
ABCO	0	0.000663318	0.09	0.026229051
ABCO	0	1.00E-04	1.00E-04	0.018538244
ABCO	0	0.000328723	0.08	0.019155132
ABCO	0	0.007034856	1.00E-04	0.039302878
ABCO	0	1.00E-04	1.00E-04	0.021025583
ABCO	0	0.00985935	1.00E-04	0.02029406
ABCO	0	1.00E-04	1.00E-04	0.017882268
ABCO	0	0.019470448	1.00E-04	0.02340556
ABCO	0	0.01343472	1.00E-04	0.020345062
ABCO	0	0.00508424	1.00E-04	0.036263388
ABCO	0	1.00E-04	1.00E-04	0.015951724
ABCO	0	0.002574246	0.06	0.024249629
ABCO	0	0.001111715	1.00E-04	0.018349108
ABCO	1	0.868639971	0.89	0.751355148
ABCO	0	1.00E-04	1.00E-04	0.017054385
ABCO	0	0.000835836	1.00E-04	0.015170519
ABCO	0	0.057957244	0.16	0.037972246
ABCO	0	0.000162557	1.00E-04	0.016881605
ABCO	0	0.10418252	0.24	0.062702616
ABCO	0	0.001725077	1.00E-04	0.018177502
ABCO	1	0.944633936	0.7	0.523991952
ABCO	0	0.080714131	0.43	0.07240963
ABCO	0	0.002091646	1.00E-04	0.016271011
ABCO	0	0.000340094	1.00E-04	0.01723321
ABCO	0	0.039551739	0.28	0.049216656
ABCO	0	0.062015733	0.34	0.053242342
ABCO	0	0.108518558	0.71	0.104010317
ABCO	0	1.00E-04	1.00E-04	0.029123578
ABCO	0	0.096709108	0.29	0.174606684
ABCO	0	0.493060577	0.1	0.057081477
ABCO	0	0.017838888	1.00E-04	0.018046246
ABCO	0	0.005445908	1.00E-04	0.0199124
ABCO	0	0.00019214	0.07	0.028397095
ABCO	1	0.001969132	1.00E-04	0.023660177
ABCO	0	0.017369767	0.33	0.04614331
ABCO	0	0.116116096	0.46	0.029416443
ABCO	0	0.614775816	0.16	0.041654576
ABCO	0	0.000300398	1.00E-04	0.01615241
ABCO	0	0.001078469	1.00E-04	0.019990199
ABCO	1	0.591014349	0.06	0.0632038
ABCO	0	0.005465595	1.00E-04	0.020231997
ABCO	0	0.034512991	1.00E-04	0.164060408
ABCO	0	0.006913263	1.00E-04	0.079894681
ABCO	0	0.000125914	1.00E-04	0.018526566
ABCO	0	1.00E-04	1.00E-04	0.015549602
ABCO	0	0.014037655	1.00E-04	0.147120936
ABCO	0	0.118346199	1.00E-04	0.274989353
ABCO	0	0.01238689	1.00E-04	0.054712723
ABCO	0	0.000471253	1.00E-04	0.021812437
ABCO	0	0.007444699	1.00E-04	0.034770503
ABCO	0	1.00E-04	1.00E-04	0.058318194
ABCO	0	1.00E-04	1.00E-04	0.03532384
ABCO	0	0.000112834	1.00E-04	0.01799007
ABCO	0	1.00E-04	1.00E-04	0.017036955
ABCO	0	1.00E-04	1.00E-04	0.018592551
ABCO	0	0.007698612	1.00E-04	0.077361052
ABCO	0	0.019390398	0.26	0.182335265
ABCO	0	1.00E-04	1.00E-04	0.033996044
ABCO	0	0.000304779	1.00E-04	0.043361467
ABCO	0	0.956965468	0.19	0.049851591
ABCO	0	0.023254106	0.24	0.132740678
ABCO	0	0.005965539	1.00E-04	0.018362264
ABCO	0	0.187320866	0.21	0.069849108
ABCO	0	1.00E-04	1.00E-04	0.022188856
ABCO	0	0.009858994	1.00E-04	0.021766853
ABCO	0	0.000285579	1.00E-04	0.017384657
ABCO	0	0.000818666	0.06	0.01982603
ABCO	0	0.024293897	0.18	0.038279967
ABCO	0	0.042493557	1.00E-04	0.060142181
ABCO	0	0.327985518	0.26	0.048709116
ABCO	0	0.041716949	1.00E-04	0.022207899
ABCO	0	0.021558678	1.00E-04	0.039298223
ABCO	0	0.001275358	1.00E-04	0.050426861
ABCO	0	1.00E-04	1.00E-04	0.015685942
ABCO	0	0.348702824	0.41	0.092545001
ABCO	0	0.013277232	1.00E-04	0.024479444
ABCO	0	0.00117662	0.26	0.040596863
ABCO	0	0.103888159	0.34	0.060270801
ABCO	1	0.357341298	0.08	0.309510468
ABCO	0	0.176877134	0.1	0.043561381
ABCO	1	0.609373028	0.09	0.3367447
ABCO	1	0.043501284	0.43	0.08960331
ABCO	1	0.15826893	0.24	0.075797863
ABCO	0	1.00E-04	1.00E-04	0.015963491
ABCO	0	0.004806843	1.00E-04	0.032501151
ABCO	0	1.00E-04	1.00E-04	0.018763696
ABCO	0	0.049129413	0.06	0.04710532
ABCO	0	0.285962026	0.08	0.052160217
ABCO	0	0.001186487	1.00E-04	0.019392588
ABCO	0	0.059640848	0.17	0.059431165
ABCO	0	0.018072832	1.00E-04	0.03549279
ABCO	0	0.000173973	1.00E-04	0.016580194
ABCO	0	0.023462097	0.07	0.07766232
ABCO	0	0.672760739	0.49	0.539485482
ABCO	0	1.00E-04	1.00E-04	0.027751799
ABCO	0	1.00E-04	1.00E-04	0.0169392
ABCO	0	1.00E-04	1.00E-04	0.016612797
ABCO	0	1.00E-04	1.00E-04	0.015123699
ABCO	0	1.00E-04	1.00E-04	0.019294182
ABCO	0	1.00E-04	1.00E-04	0.017495676
ABCO	0	1.00E-04	1.00E-04	0.019939896
ABCO	0	1.00E-04	1.00E-04	0.016079721
ABCO	0	0.002129837	1.00E-04	0.0999455
ABCO	0	0.000390047	1.00E-04	0.028405688
ABCO	0	1.00E-04	1.00E-04	0.015386342
ABCO	0	0.002856901	1.00E-04	0.052381236
ABCO	0	1.00E-04	1.00E-04	0.014684793
ABCO	0	0.000332777	1.00E-04	0.020064746
ABCO	0	0.000146237	1.00E-04	0.019122774
ABCO	0	1.00E-04	1.00E-04	0.021504104
ABCO	0	0.004645043	1.00E-04	0.142423787
ABCO	0	1.00E-04	1.00E-04	0.018241353
ABCO	0	0.000620104	1.00E-04	0.024458163
ABCO	1	0.128224057	1.00E-04	0.258575311
ABCO	0	0.000303192	1.00E-04	0.016041463
ABCO	1	0.002668106	0.46	0.148286744
ABCO	0	0.194637722	0.29	0.03698665
ABCO	0	1.00E-04	1.00E-04	0.019142133
ABCO	0	0.000192862	1.00E-04	0.036190477
ABCO	0	0.000216569	1.00E-04	0.016137071
ABCO	0	0.024654433	1.00E-04	0.03635295
ABCO	0	0.003067605	1.00E-04	0.052640103
ABCO	0	0.003335537	1.00E-04	0.045189239
ABCO	0	0.007416376	1.00E-04	0.039003771
ABCO	0	0.048208126	1.00E-04	0.076508617
ABCO	0	0.013154821	1.00E-04	0.029717127
ABCO	0	1.00E-04	1.00E-04	0.01924423
ABCO	0	1.00E-04	1.00E-04	0.014737359
ABCO	0	0.113821795	1.00E-04	0.047424915
ABCO	0	0.019191145	1.00E-04	0.071442588
ABCO	0	1.00E-04	1.00E-04	0.014933744
ABCO	0	1.00E-04	1.00E-04	0.015461221
ABCO	0	1.00E-04	1.00E-04	0.020627221
ABCO	0	1.00E-04	1.00E-04	0.015554744
ABCO	0	1.00E-04	1.00E-04	0.016002604
ABCO	0	1.00E-04	1.00E-04	0.019261928
ABCO	0	1.00E-04	1.00E-04	0.014941979
ABCO	0	1.00E-04	1.00E-04	0.019401027
ABCO	0	1.00E-04	1.00E-04	0.021582981
ABCO	0	1.00E-04	1.00E-04	0.016933745
ABCO	0	1.00E-04	1.00E-04	0.021063316
ABCO	0	1.00E-04	1.00E-04	0.017341527
ABCO	0	0.001004739	1.00E-04	0.014959182
ABCO	0	0.015223447	1.00E-04	0.069503669
ABCO	0	0.001845781	0.08	0.042414074
ABCO	0	0.089192783	0.19	0.041858739
ABCO	0	0.049656125	0.16	0.029632397
ABCO	0	0.062499302	0.08	0.049494793
ABCO	0	0.027240965	1.00E-04	0.05406011
ABCO	0	0.098179499	0.07	0.202096857
ABCO	0	0.003708564	1.00E-04	0.059557963
ABCO	0	0.834937573	0.37	0.10611053
ABCO	0	0.014382075	0.06	0.025614042
ABCO	0	0.270101787	0.34	0.075204149
ABCO	0	0.568970186	0.19	0.126324845
ABCO	0	0.675812846	0.26	0.276868936
ABCO	1	0.108059103	0.34	0.105102003
ABCO	0	0.001426401	0.08	0.089277486
ABCO	0	0.004768147	0.08	0.032242401
ABCO	0	0.004554528	0.08	0.036246152
ABCO	0	0.002450935	0.06	0.022345011
ABCO	0	0.001060444	1.00E-04	0.019444746
ABCO	1	0.975167867	0.51	0.718600507
ABCO	0	0.004269507	0.07	0.020815778
ABCO	0	1.00E-04	1.00E-04	0.021988119
ABCO	0	0.016770174	0.1	0.033911881
ABCO	1	0.64549163	0.16	0.190067733
ABCO	0	0.002955919	0.09	0.022987191
ABCO	0	0.198283782	0.52	0.416960529
ABCO	0	0.013747359	0.1	0.029154998
ABCO	0	0.106322246	0.23	0.075245141
ABCO	0	0.001528108	0.06	0.050979996
ABCO	0	0.119034675	0.39	0.164884017
ABCO	0	0.020123662	0.14	0.09985665
ABCO	0	0.001260322	1.00E-04	0.05181551
ABCO	0	0.000977514	1.00E-04	0.019175285
ABCO	0	0.000925814	1.00E-04	0.089508065
ABCO	1	0.079789122	0.08	0.587056559
ABCO	0	0.002150857	1.00E-04	0.021627677
ABCO	0	0.009038943	0.16	0.042164561
ABCO	0	0.014268463	0.25	0.057385493
ABCO	0	0.017961427	1.00E-04	0.048411713
ABCO	0	0.277423249	0.44	0.163379428
ABCO	0	0.373608154	0.28	0.220382358
ABCO	1	0.595304151	0.27	0.184664752
ABCO	0	0.048989275	1.00E-04	0.108895893
ABCO	0	0.521132518	0.25	0.208338233
ABCO	0	0.334449804	1.00E-04	0.064962155
ABCO	0	0.083200553	1.00E-04	0.096763852
ABCO	0	0.028951981	0.09	0.106695768
ABCO	0	0.13129414	0.08	0.056492962
ABCO	0	0.521413159	1.00E-04	0.25012652
ABCO	0	0.661188797	1.00E-04	0.134115214
ABCO	0	0.006794743	1.00E-04	0.043145196
ABCO	0	0.007544042	0.1	0.021803716
ABCO	0	0.360684251	1.00E-04	0.091841541
ABCO	0	0.302147468	0.2	0.113639684
ABCO	0	0.505441493	0.48	0.220086339
ABCO	1	0.046197573	0.46	0.53418754
ABCO	0	0.230379075	0.4	0.384346017
ABCO	0	0.040774922	0.16	0.163919015
ABCO	1	0.448622277	0.68	0.512924921
ABCO	1	0.100109966	0.4	0.256027004
ABCO	0	0.03579508	0.27	0.305973799
ABCO	0	0.32250678	0.27	0.347075645
ABCO	0	0.011564257	0.16	0.213076043
ABCO	0	0.183795709	0.48	0.270371185
ABCO	0	0.027802229	0.38	0.129894402
ABCO	0	0.330428222	0.28	0.156836933
ABCO	1	0.200878337	0.68	0.18457406
ABCO	0	0.303737155	0.17	0.143572279
ABCO	0	0.022064284	0.08	0.086922329
ABCO	0	0.404431759	0.28	0.120330119
ABCO	0	0.023962833	1.00E-04	0.026826093
ABCO	0	0.014352239	1.00E-04	0.032336281
ABCO	0	0.192636686	0.28	0.548933458
ABCO	0	0.57623615	0.17	0.09294063
ABCO	0	0.325450791	0.8	0.599562831
ABCO	0	0.389133711	0.35	0.116462172
ABCO	0	0.095134576	0.07	0.095495435
ABCO	0	0.001889137	1.00E-04	0.016862664
ABCO	0	0.000340547	1.00E-04	0.016439242
ABCO	0	0.006796909	1.00E-04	0.016845243
ABCO	0	0.000299204	1.00E-04	0.039261346
ABCO	0	1.00E-04	1.00E-04	0.017482718
ABCO	0	0.000537658	1.00E-04	0.024107327
ABCO	0	0.000996573	1.00E-04	0.069305387
ABCO	0	1.00E-04	1.00E-04	0.0146085
ABCO	0	0.00023794	1.00E-04	0.027921555
ABCO	0	1.00E-04	1.00E-04	0.021164164
ABCO	0	0.000820315	1.00E-04	0.036479781
ABCO	0	1.00E-04	1.00E-04	0.015410668
ABCO	0	1.00E-04	1.00E-04	0.021414566
ABCO	0	0.040323133	1.00E-04	0.04816995
ABCO	0	1.00E-04	1.00E-04	0.015205791
ABCO	0	1.00E-04	1.00E-04	0.014555176
ABCO	0	1.00E-04	1.00E-04	0.01573879
ABCO	0	1.00E-04	1.00E-04	0.019216842
ABCO	0	0.002154385	1.00E-04	0.043461035
ABCO	0	0.182464665	0.08	0.194130396
ABCO	0	0.902050246	0.48	0.623210893
ABCO	0	0.019299028	0.33	0.114861461
ABCO	0	0.064753953	0.18	0.060841111
ABCO	0	1.00E-04	1.00E-04	0.015339346
ABCO	0	1.00E-04	1.00E-04	0.015430546
ABCO	0	0.006086	1.00E-04	0.045011627
ABCO	0	1.00E-04	1.00E-04	0.015974329
ABCO	0	0.000128913	1.00E-04	0.018080164
ABCO	0	0.0127415	1.00E-04	0.197906685
ABCO	0	0.000418979	1.00E-04	0.018582669
ABCO	0	0.000126062	1.00E-04	0.027061605
ABCO	0	1.00E-04	1.00E-04	0.020652294
ABCO	0	0.000207252	1.00E-04	0.020421085
ABCO	0	0.088325431	1.00E-04	0.05076443
ABCO	0	0.011648125	1.00E-04	0.030276309
ABCO	0	1.00E-04	1.00E-04	0.027873384
ABCO	1	0.696498978	0.44	0.33486863
ABCO	1	0.177973347	0.21	0.175145186
ABCO	0	0.001735971	1.00E-04	0.029579623
ABCO	0	0.03112579	1.00E-04	0.033987591
ABCO	0	1.00E-04	1.00E-04	0.016095012
ABCO	0	0.000279287	1.00E-04	0.017984474
ABCO	0	1.00E-04	1.00E-04	0.01714801
ABCO	0	0.034575551	0.08	0.026938752
ABCO	1	0.010901774	0.08	0.04796895
ABCO	0	0.006332083	1.00E-04	0.025832929
ABCO	0	0.147243788	1.00E-04	0.034167998
ABCO	0	0.00032737	1.00E-04	0.019114248
ABCO	0	0.088805457	0.56	0.137994585
ABCO	0	0.001432895	1.00E-04	0.029419922
ABCO	0	0.016681762	1.00E-04	0.038534477
ABCO	0	0.175583107	0.34	0.132081852
ABCO	0	0.017096484	0.18	0.068306072
ABCO	0	0.027819176	0.16	0.266444158
ABCO	0	0.000732331	1.00E-04	0.022296465
ABCO	0	0.083024886	0.21	0.043309622
ABCO	0	0.000725225	1.00E-04	0.021030656
ABCO	0	0.000535392	1.00E-04	0.021375645
ABCO	0	0.730904752	0.34	0.082921153
ABCO	0	0.494293636	0.33	0.207951441
ABCO	1	0.829476674	0.4	0.432354404
ABCO	1	0.521328139	0.09	0.254637075
ABCO	1	0.969355147	0.3	0.694971704
ABCO	0	0.028663774	0.16	0.081458054
ABCO	1	0.737104243	0.27	0.47787861
ABCO	0	0.317991733	1.00E-04	0.036112915
ABCO	0	0.014039709	1.00E-04	0.023767895
ABCO	0	0.159676731	0.29	0.078418109
ABCO	0	0.000967152	1.00E-04	0.021488944
ABCO	0	0.058111443	0.69	0.085515235
ABCO	0	0.041954821	0.42	0.058751087
ABCO	0	0.422795185	0.38	0.157026552
ABCO	0	0.364537514	0.3	0.067683183
ABCO	0	0.205546514	0.18	0.027868375
ABCO	1	0.839273933	0.68	0.52553882
ABCO	0	0.761969403	0.21	0.253744951
ABCO	1	0.869177516	0.8	0.857035017
ABCO	0	0.019951348	0.07	0.038425676
ABCO	0	0.000105149	1.00E-04	0.018836197
ABCO	0	0.021887328	1.00E-04	0.043805187
ABCO	0	0.069174678	0.18	0.031267635
ABCO	1	0.887130909	0.81	0.76619115
ABCO	0	1.00E-04	1.00E-04	0.06537224
ABCO	0	0.011778861	1.00E-04	0.105701207
ABCO	0	0.005579729	0.09	0.02417647
ABCO	0	0.006539201	1.00E-04	0.05014543
ABCO	0	0.135250527	0.06	0.064217086
ABCO	0	0.00157615	1.00E-04	0.045337344
ABCO	0	0.000873147	1.00E-04	0.039020217
ABCO	0	0.082710911	0.06	0.023551475
ABCO	0	1.00E-04	1.00E-04	0.019406413
ABCO	0	1.00E-04	1.00E-04	0.023488173
ABCO	0	0.492579587	0.41	0.439906717
ABCO	0	0.005779256	1.00E-04	0.072719567
ABCO	0	0.008591776	1.00E-04	0.075793689
ABCO	0	0.251882254	0.56	0.285713364
ABCO	0	0.223872377	0.28	0.271933066
ABCO	0	0.043453494	0.28	0.042221371
ABCO	0	0.678559779	0.08	0.19315629
ABCO	0	0.036708505	0.17	0.081236994
ABCO	0	0.004267603	1.00E-04	0.017181057
ABCO	0	0.143819829	0.38	0.090714797
ABCO	1	0.756170017	0.58	0.657753574
ABCO	1	0.323314509	0.54	0.210350299
ABCO	0	0.206331062	1.00E-04	0.136218494
ABCO	1	0.254016998	0.26	0.359923437
ABCO	0	0.333879637	0.08	0.09316752
ABCO	1	0.381238533	0.55	0.329785484
ABCO	1	0.401952533	0.37	0.708226355
ABCO	1	0.209971402	0.48	0.116443285
ABCO	1	0.189555176	0.28	0.048493831
ABLA	0	0.000505361	1.00E-04	0.023799994
ABLA	0	0.00029309	1.00E-04	0.025052566
ABLA	0	0.00038583	1.00E-04	0.028813525
ABLA	0	0.000783922	1.00E-04	0.0254379
ABLA	0	0.068408127	1.00E-04	0.042776807
ABLA	0	1.00E-04	1.00E-04	0.058876834
ABLA	0	0.123930536	0.07	0.077758392
ABLA	0	0.001193258	1.00E-04	0.026646289
ABLA	0	0.011543305	0.1	0.028784554
ABLA	1	0.72862937	0.81	0.785918876
ABLA	0	0.001310557	1.00E-04	0.023952033
ABLA	0	0.001331345	1.00E-04	0.025434765
ABLA	0	0.002246007	1.00E-04	0.027098001
ABLA	0	1.00E-04	1.00E-04	0.024144208
ABLA	0	1.00E-04	1.00E-04	0.026122198
ABLA	0	0.003936717	1.00E-04	0.03163136
ABLA	0	0.000672485	1.00E-04	0.025344887
ABLA	0	1.00E-04	1.00E-04	0.023755538
ABLA	0	0.000180444	1.00E-04	0.023641284
ABLA	0	0.002108068	1.00E-04	0.031422699
ABLA	0	0.026925193	0.09	0.045838243
ABLA	0	0.001158406	1.00E-04	0.02475581
ABLA	0	0.001275674	1.00E-04	0.025162612
ABLA	0	0.013644046	1.00E-04	0.037949176
ABLA	0	0.337764561	0.2	0.475974607
ABLA	0	1.00E-04	1.00E-04	0.025941999
ABLA	0	0.00159781	0.18	0.045458987
ABLA	1	0.89751169	0.62	0.549018203
ABLA	0	0.010284065	1.00E-04	0.033725618
ABLA	0	0.037643923	0.08	0.044909115
ABLA	0	0.246714917	0.3	0.474245101
ABLA	0	0.000354111	1.00E-04	0.024598186
ABLA	0	0.000628861	1.00E-04	0.036822523
ABLA	1	0.598063788	0.7	0.651005056
ABLA	0	0.351511951	0.1	0.31510414
ABLA	0	0.040058316	1.00E-04	0.035922099
ABLA	0	0.019253053	1.00E-04	0.053507533
ABLA	0	0.345212202	0.21	0.334939754
ABLA	0	0.045192062	1.00E-04	0.038063092
ABLA	1	0.501099534	0.5	0.523773278
ABLA	0	1.00E-04	1.00E-04	0.024123636
ABLA	0	1.00E-04	1.00E-04	0.023538506
ABLA	0	0.000265898	1.00E-04	0.025995059
ABLA	0	0.038561935	1.00E-04	0.09640035
ABLA	0	0.013331286	1.00E-04	0.02759538
ABLA	0	0.00164941	1.00E-04	0.028607012
ABLA	0	0.006623246	1.00E-04	0.02801899
ABLA	0	0.000211604	1.00E-04	0.025560656
ABLA	0	0.006944524	1.00E-04	0.033195031
ABLA	0	0.362602944	0.52	0.503325177
ABLA	1	0.922499129	0.81	0.904782964
ABLA	0	1.00E-04	1.00E-04	0.023943076
ABLA	1	0.0651266	1.00E-04	0.094619149
ABLA	0	0.578575125	0.51	0.684223348
ABLA	0	0.003724103	1.00E-04	0.031688265
ABLA	0	0.000113664	1.00E-04	0.039970886
ABLA	0	0.169036464	1.00E-04	0.181176591
ABLA	0	0.009978419	1.00E-04	0.05929646
ABLA	1	0.959854261	0.81	0.88146036
ABLA	0	1.00E-04	1.00E-04	0.024813941
ABLA	0	0.001590637	1.00E-04	0.023460277
ABLA	0	0.000341623	1.00E-04	0.02446979
ABLA	0	0.00401445	1.00E-04	0.02530203
ABLA	0	0.006841774	0.07	0.025026622
ABLA	0	0.019709037	1.00E-04	0.039054975
ABLA	0	0.000133044	1.00E-04	0.023476862
ABLA	0	0.000319426	1.00E-04	0.024366409
ABLA	0	0.002262767	1.00E-04	0.028228947
ABLA	0	0.04260006	0.39	0.202230657
ABLA	0	1.00E-04	1.00E-04	0.023580155
ABLA	0	0.000376116	1.00E-04	0.02348943
ABLA	0	0.00078678	1.00E-04	0.027056007
ABLA	0	1.00E-04	1.00E-04	0.02352757
ABLA	1	0.355143776	0.52	0.240983741
ABLA	0	0.00194459	1.00E-04	0.024109909
ABLA	0	0.265750998	0.3	0.257919238
ABLA	0	0.007266851	0.27	0.040678079
ABLA	0	0.00055599	1.00E-04	0.025485389
ABLA	0	1.00E-04	1.00E-04	0.02350725
ABLA	0	0.002728944	1.00E-04	0.02600995
ABLA	0	0.00016715	1.00E-04	0.025218997
ABLA	1	0.502672121	0.44	0.555907556
ABLA	0	0.000205416	1.00E-04	0.028962436
ABLA	0	0.244926797	0.6	0.148063849
ABLA	0	0.011940731	1.00E-04	0.026733106
ABLA	0	0.000534329	1.00E-04	0.023959391
ABLA	0	0.001299066	1.00E-04	0.025678327
ABLA	0	0.000758769	1.00E-04	0.026663738
ABLA	0	0.007955092	1.00E-04	0.027818839
ABLA	0	0.00331135	1.00E-04	0.034810717
ABLA	0	0.000425584	1.00E-04	0.023845246
ABLA	0	0.007935747	1.00E-04	0.026888987
ABLA	0	1.00E-04	1.00E-04	0.023906457
ABLA	0	0.000439203	1.00E-04	0.024089438
ABLA	0	0.000309483	1.00E-04	0.029581958
ABLA	0	0.000747844	1.00E-04	0.024098738
ABLA	1	0.602443587	0.69	0.728809807
ABLA	0	0.310713189	1	0.720538872
ABLA	0	0.001048613	1.00E-04	0.024288597
ABLA	0	0.000997022	1.00E-04	0.023492372
ABLA	0	0.004455453	1.00E-04	0.03628482
ABLA	0	0.242292166	0.37	0.139653629
ABLA	0	0.002977374	0.29	0.081363504
ABLA	0	0.000644883	1.00E-04	0.02634579
ABLA	0	0.00032294	1.00E-04	0.027307501
ABLA	0	1.00E-04	1.00E-04	0.036481857
ABLA	0	0.004352158	1.00E-04	0.024278459
ABLA	0	0.002630958	1.00E-04	0.023949607
ABLA	0	0.004882911	1.00E-04	0.023850639
ABLA	0	0.001842465	1.00E-04	0.023878968
ABLA	0	0.03456026	0.18	0.084279409
ABLA	0	0.013269681	1.00E-04	0.082359593
ABLA	0	0.004503644	1.00E-04	0.025196128
ABLA	0	0.000693218	1.00E-04	0.027673604
ABLA	1	0.129248473	0.42	0.162438946
ABLA	0	0.017946904	1.00E-04	0.05274094
ABLA	0	0.000684331	1.00E-04	0.023557348
ABLA	0	0.168394217	0.27	0.05104053
ABLA	0	0.000653069	1.00E-04	0.023628188
ABLA	0	0.002384886	1.00E-04	0.024081773
ABLA	0	0.001184541	1.00E-04	0.023565035
ABLA	0	0.00101846	1.00E-04	0.02380054
ABLA	0	0.01808926	1.00E-04	0.033556693
ABLA	0	0.001781534	1.00E-04	0.026339731
ABLA	0	0.00337882	1.00E-04	0.030814166
ABLA	0	0.000707858	1.00E-04	0.023903915
ABLA	0	1.00E-04	1.00E-04	0.024511398
ABLA	1	0.813127618	0.72	0.81685825
ABLA	0	0.000135076	1.00E-04	0.025015275
ABLA	1	0.595799679	0.53	0.610005198
ABLA	0	0.072020962	0.09	0.117173067
ABLA	0	0.033754985	0.09	0.051136889
ABLA	0	0.007187309	1.00E-04	0.055107118
ABLA	1	0.645936118	0.1	0.451694886
ABLA	0	0.405301255	0.61	0.203533971
ABLA	0	0.269447206	0.2	0.110684444
ABLA	0	0.013463994	1.00E-04	0.027950451
ABLA	0	0.104942554	0.29	0.03881183
ABLA	0	0.001397074	1.00E-04	0.02362135
ABLA	0	0.002849361	1.00E-04	0.027869541
ABLA	0	0.006593812	1.00E-04	0.023784004
ABLA	0	0.003866956	0.17	0.035052902
ABLA	0	0.015405321	1.00E-04	0.02794345
ABLA	0	0.000159928	1.00E-04	0.023783434
ABLA	0	0.004874303	1.00E-04	0.047500098
ABLA	0	0.004065097	1.00E-04	0.027615736
ABLA	0	0.000193195	1.00E-04	0.023594243
ABLA	0	0.005872267	1.00E-04	0.038121703
ABLA	0	0.015815844	0.09	0.046512878
ABLA	0	0.000130593	1.00E-04	0.024317822
ABLA	0	1.00E-04	1.00E-04	0.024838371
ABLA	0	1.00E-04	1.00E-04	0.024574257
ABLA	0	0.000182	1.00E-04	0.024925672
ABLA	0	1.00E-04	1.00E-04	0.02449961
ABLA	0	1.00E-04	1.00E-04	0.024542814
ABLA	0	0.369743975	0.4	0.38679371
ABLA	1	0.463820978	0.59	0.174126626
ABLA	0	0.038781413	0.1	0.05082826
ABLA	1	0.554203503	0.49	0.369928606
ABLA	0	0.406866375	0.7	0.364229235
ABLA	1	0.030468648	0.36	0.056479492
ABLA	1	0.680765272	0.38	0.559208007
ABLA	0	0.059585527	0.56	0.12417095
ABLA	0	0.020144235	0.17	0.05368037
ABLA	0	0.002829563	1.00E-04	0.025457579
ABLA	0	0.010339053	0.19	0.054911862
ABLA	0	0.00034129	1.00E-04	0.026724143
ABLA	0	0.002771971	0.09	0.024245783
ABLA	0	0.031351331	0.2	0.096483499
ABLA	0	0.000820897	1.00E-04	0.023716041
ABLA	0	0.121661311	1.00E-04	0.06618073
ABLA	0	0.308749068	0.49	0.562237314
ABLA	0	0.000465745	1.00E-04	0.027109731
ABLA	0	0.001847541	1.00E-04	0.026935042
